"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 30 14:58:01 UTC 2025","Thu Oct 30 14:58:02 UTC 2025","947","tests.test_smoke","test_home_page","TestHomePage","","","test_home_page_loading[firefox]",""
"passed","Thu Oct 30 14:58:44 UTC 2025","Thu Oct 30 14:58:45 UTC 2025","668","tests.test_regression","test_cart","TestCartEdgeCases","","","Set quantity to 0",""
"passed","Thu Oct 30 14:58:50 UTC 2025","Thu Oct 30 14:58:51 UTC 2025","852","tests.test_regression","Products Tests","TestProductsBasic","","","Check computers category has subcategories",""
"passed","Thu Oct 30 14:59:41 UTC 2025","Thu Oct 30 14:59:42 UTC 2025","1267","tests.test_smoke","test_products","TestProductsSmoke","","","test_product_details_accessible[webkit]",""
"passed","Thu Oct 30 14:58:24 UTC 2025","Thu Oct 30 14:58:24 UTC 2025","88","tests.test_regression","test_auth","TestLoginRegression","","","test_login_page_loading[chromium]",""
"passed","Thu Oct 30 14:58:25 UTC 2025","Thu Oct 30 14:58:26 UTC 2025","672","tests.test_regression","test_auth","TestLoginRegression","","","test_login_with_invalid_credentials[chromium]",""
"passed","Thu Oct 30 14:59:09 UTC 2025","Thu Oct 30 14:59:09 UTC 2025","183","tests.test_regression","test_auth","TestLoginRegression","","","test_remember_me_functionality[webkit]",""
"passed","Thu Oct 30 14:58:28 UTC 2025","Thu Oct 30 14:58:28 UTC 2025","209","tests.test_regression","test_auth","TestLoginRegression","","","test_remember_me_functionality[chromium]",""
"passed","Thu Oct 30 14:58:25 UTC 2025","Thu Oct 30 14:58:26 UTC 2025","927","tests.test_regression","Category Navigation Tests","TestCategoryNavigation","","","Navigation trough subcategories","Test navigation through subcategories"
"passed","Thu Oct 30 14:59:36 UTC 2025","Thu Oct 30 14:59:37 UTC 2025","874","tests.test_smoke","test_login_page","TestAuthSmoke","","","test_user_can_navigate_to_login_from_home[webkit]",""
"passed","Thu Oct 30 14:59:37 UTC 2025","Thu Oct 30 14:59:37 UTC 2025","717","tests.test_regression","test_registration","TestRegistrationBoundary","","","test_registration_with_long_names[webkit]",""
"passed","Thu Oct 30 14:58:29 UTC 2025","Thu Oct 30 14:58:30 UTC 2025","1141","tests.test_regression","test_registration","TestRegistration","","","test_registration_with_valid_data[chromium]",""
"passed","Thu Oct 30 14:59:43 UTC 2025","Thu Oct 30 14:59:43 UTC 2025","592","tests.test_regression","test_registration","TestRegistration","","","test_registration_validation_errors[firefox-password_mismatch-user_data3-1]",""
"passed","Thu Oct 30 14:58:16 UTC 2025","Thu Oct 30 14:58:16 UTC 2025","119","tests.test_smoke","test_registration","TestRegistrationSmoke","","","test_registration_page_accessible_from_home[firefox]",""
"passed","Thu Oct 30 14:59:51 UTC 2025","Thu Oct 30 14:59:51 UTC 2025","310","tests.test_regression","test_registration","TestRegistration","","","test_registration_validation_errors[webkit-password_mismatch-user_data3-1]",""
"passed","Thu Oct 30 14:58:27 UTC 2025","Thu Oct 30 14:58:27 UTC 2025","143","tests.test_regression","test_auth","TestLoginRegression","","","test_login_with_empty_credentials[chromium]",""
"passed","Thu Oct 30 14:58:32 UTC 2025","Thu Oct 30 14:58:33 UTC 2025","1134","tests.test_regression","test_auth","TestLoginLogoutFlow","","","test_user_login_state_changes[chromium]",""
"passed","Thu Oct 30 14:58:00 UTC 2025","Thu Oct 30 14:58:01 UTC 2025","1261","tests.test_regression","Cart Tests","TestCart","","","Remove product",""
"passed","Thu Oct 30 14:59:49 UTC 2025","Thu Oct 30 14:59:49 UTC 2025","323","tests.test_regression","test_registration","TestRegistration","","","test_registration_validation_errors[webkit-empty_first_name-user_data0-1]",""
"passed","Thu Oct 30 14:58:40 UTC 2025","Thu Oct 30 14:58:41 UTC 2025","802","tests.test_regression","Cart Tests","TestCart","","","Remove product",""
"passed","Thu Oct 30 14:58:48 UTC 2025","Thu Oct 30 14:58:50 UTC 2025","1173","tests.test_smoke","test_products","TestProductsSmoke","","","test_search_functionality_working[chromium]",""
"passed","Thu Oct 30 14:58:43 UTC 2025","Thu Oct 30 14:58:44 UTC 2025","611","tests.test_smoke","test_home_page","TestHomePage","","","test_login_link_visible[chromium]",""
"passed","Thu Oct 30 14:58:23 UTC 2025","Thu Oct 30 14:58:23 UTC 2025","674","tests.test_regression","Products Tests","TestProductsBasic","","","Add book to cart",""
"passed","Thu Oct 30 14:58:44 UTC 2025","Thu Oct 30 14:58:44 UTC 2025","486","tests.test_smoke","test_home_page","TestHomePage","","","test_register_link_visible[chromium]",""
"passed","Thu Oct 30 14:59:07 UTC 2025","Thu Oct 30 14:59:07 UTC 2025","245","tests.test_regression","test_auth","TestLoginRegression","","","test_login_with_empty_credentials[webkit]",""
"passed","Thu Oct 30 14:59:47 UTC 2025","Thu Oct 30 14:59:47 UTC 2025","238","tests.test_regression","test_registration","TestRegistration","","","test_registration_validation_errors[chromium-empty_email-user_data2-1]",""
"passed","Thu Oct 30 14:59:24 UTC 2025","Thu Oct 30 14:59:24 UTC 2025","115","tests.test_regression","test_registration","TestRegistration","","","test_registration_page_loading[webkit]",""
"passed","Thu Oct 30 14:58:41 UTC 2025","Thu Oct 30 14:58:42 UTC 2025","835","tests.test_regression","test_registration","TestRegistrationBoundary","","","test_registration_with_long_names[chromium]",""
"passed","Thu Oct 30 14:58:42 UTC 2025","Thu Oct 30 14:58:43 UTC 2025","591","tests.test_smoke","test_cart","TestCartSmoke","","","Loading cart",""
"passed","Thu Oct 30 14:59:05 UTC 2025","Thu Oct 30 14:59:06 UTC 2025","816","tests.test_regression","test_auth","TestLoginRegression","","","test_login_with_invalid_credentials[webkit]",""
"passed","Thu Oct 30 14:57:38 UTC 2025","Thu Oct 30 14:57:38 UTC 2025","327","tests.test_regression","test_auth","TestLoginRegression","","","test_login_with_empty_credentials[firefox]",""
"passed","Thu Oct 30 14:58:07 UTC 2025","Thu Oct 30 14:58:08 UTC 2025","1220","tests.test_regression","test_cart","TestCartEdgeCases","","","Set quantity to 0",""
"passed","Thu Oct 30 14:58:20 UTC 2025","Thu Oct 30 14:58:23 UTC 2025","2694","tests","test_auth_flow","","","","test_complete_auth_flow[chromium]","
Test complete authentication flow using centralized test data
"
"passed","Thu Oct 30 14:59:00 UTC 2025","Thu Oct 30 14:59:01 UTC 2025","892","tests.test_regression","Cart Tests","TestCart","","","Empty cart message display",""
"passed","Thu Oct 30 14:58:36 UTC 2025","Thu Oct 30 14:58:37 UTC 2025","1090","tests.test_regression","Cart Tests","TestCart","","","Update product quantity",""
"passed","Thu Oct 30 14:57:40 UTC 2025","Thu Oct 30 14:57:40 UTC 2025","300","tests.test_regression","test_auth","TestLoginRegression","","","test_remember_me_functionality[firefox]",""
"passed","Thu Oct 30 14:58:06 UTC 2025","Thu Oct 30 14:58:06 UTC 2025","693","tests.test_smoke","test_login_page","TestAuthSmoke","","","test_home_page_login_state_indicators[firefox]",""
"passed","Thu Oct 30 14:58:28 UTC 2025","Thu Oct 30 14:58:28 UTC 2025","332","tests.test_regression","test_registration","TestRegistration","","","test_registration_page_loading[chromium]",""
"passed","Thu Oct 30 14:59:53 UTC 2025","Thu Oct 30 14:59:53 UTC 2025","300","tests.test_regression","test_registration","TestRegistration","","","test_registration_validation_errors[webkit-weak_password-user_data4-1]",""
"passed","Thu Oct 30 14:59:16 UTC 2025","Thu Oct 30 14:59:17 UTC 2025","1070","tests.test_regression","Products Tests","TestProductsBasic","","","Add book to cart",""
"passed","Thu Oct 30 14:58:12 UTC 2025","Thu Oct 30 14:58:13 UTC 2025","1199","tests.test_smoke","test_products","TestProductsSmoke","","","test_search_functionality_working[firefox]",""
"passed","Thu Oct 30 14:57:39 UTC 2025","Thu Oct 30 14:57:41 UTC 2025","2596","tests.test_regression","Category Navigation Tests","TestCategoryNavigation","","","test_direct_subcategory_navigation[firefox]","Test direct navigation to specific subcategories"
"passed","Thu Oct 30 14:59:28 UTC 2025","Thu Oct 30 14:59:29 UTC 2025","996","tests.test_regression","test_registration","TestRegistration","","","test_registration_with_female_gender[webkit]",""
"passed","Thu Oct 30 14:58:33 UTC 2025","Thu Oct 30 14:58:33 UTC 2025","590","tests.test_regression","Cart Tests","TestCart","","","Empty cart message display",""
"passed","Thu Oct 30 14:58:12 UTC 2025","Thu Oct 30 14:58:14 UTC 2025","1275","tests.test_regression","test_cart","TestCartEdgeCases","","","Product large quantity",""
"passed","Thu Oct 30 14:57:25 UTC 2025","Thu Oct 30 14:57:28 UTC 2025","2260","tests.test_regression","Products Tests","TestProductsBasic","","","Search products from subcategory",""
"passed","Thu Oct 30 14:58:46 UTC 2025","Thu Oct 30 14:58:47 UTC 2025","542","tests.test_smoke","test_login_page","TestAuthSmoke","","","test_user_can_navigate_to_login_from_home[chromium]",""
"passed","Thu Oct 30 14:58:59 UTC 2025","Thu Oct 30 14:59:02 UTC 2025","3170","tests","test_auth_flow","","","","test_complete_auth_flow[webkit]","
Test complete authentication flow using centralized test data
"
"passed","Thu Oct 30 14:59:18 UTC 2025","Thu Oct 30 14:59:19 UTC 2025","958","tests.test_regression","test_cart","TestCartEdgeCases","","","Product large quantity",""
"passed","Thu Oct 30 14:57:32 UTC 2025","Thu Oct 30 14:57:34 UTC 2025","1588","tests.test_regression","Products Tests","TestProductsBasic","","","Add book to cart",""
"passed","Thu Oct 30 14:59:30 UTC 2025","Thu Oct 30 14:59:31 UTC 2025","796","tests.test_smoke","test_home_page","TestHomePage","","","test_login_link_visible[webkit]",""
"passed","Thu Oct 30 14:57:44 UTC 2025","Thu Oct 30 14:57:46 UTC 2025","1630","tests.test_regression","test_registration","TestRegistration","","","test_registration_with_valid_data[firefox]",""
"passed","Thu Oct 30 14:58:24 UTC 2025","Thu Oct 30 14:58:25 UTC 2025","583","tests.test_regression","Category Navigation Tests","TestCategoryNavigation","","","Computers category has expected subcategories","Test that computers category has expected subcategories"
"passed","Thu Oct 30 14:59:25 UTC 2025","Thu Oct 30 14:59:26 UTC 2025","1051","tests.test_regression","test_registration","TestRegistration","","","test_registration_with_valid_data[webkit]",""
"passed","Thu Oct 30 14:59:44 UTC 2025","Thu Oct 30 14:59:45 UTC 2025","460","tests.test_regression","test_registration","TestRegistration","","","test_registration_validation_errors[firefox-weak_password-user_data4-1]",""
"passed","Thu Oct 30 14:58:58 UTC 2025","Thu Oct 30 14:59:00 UTC 2025","1979","tests.test_regression","test_auth","TestLoginLogoutFlow","","","test_user_login_state_changes[webkit]",""
"passed","Thu Oct 30 14:58:08 UTC 2025","Thu Oct 30 14:58:09 UTC 2025","815","tests.test_smoke","test_login_page","TestAuthSmoke","","","test_user_can_navigate_to_login_from_home[firefox]",""
"passed","Thu Oct 30 14:57:34 UTC 2025","Thu Oct 30 14:57:34 UTC 2025","243","tests.test_regression","test_auth","TestLoginRegression","","","test_login_page_loading[firefox]",""
"passed","Thu Oct 30 14:58:09 UTC 2025","Thu Oct 30 14:58:11 UTC 2025","2408","tests.test_smoke","test_products","TestProductsSmoke","","","test_main_categories_accessible[firefox]",""
"passed","Thu Oct 30 14:57:49 UTC 2025","Thu Oct 30 14:57:50 UTC 2025","907","tests.test_regression","Cart Tests","TestCart","","","Empty cart message display",""
"passed","Thu Oct 30 14:59:03 UTC 2025","Thu Oct 30 14:59:03 UTC 2025","92","tests.test_regression","test_auth","TestLoginRegression","","","test_login_page_loading[webkit]",""
"passed","Thu Oct 30 14:58:35 UTC 2025","Thu Oct 30 14:58:35 UTC 2025","402","tests.test_regression","test_registration","TestRegistration","","","test_registration_validation_errors[firefox-empty_last_name-user_data1-1]",""
"passed","Thu Oct 30 14:59:20 UTC 2025","Thu Oct 30 14:59:22 UTC 2025","1934","tests.test_regression","Category Navigation Tests","TestCategoryNavigation","","","test_direct_subcategory_navigation[webkit]","Test direct navigation to specific subcategories"
